year,stage,h1,h2,h3,h4
2010,11,28702.233333333334,5060.833333333333,5222.3,1952.2666666666667
2010,12,43938.54838709677,14950.354838709678,9189.0,3900.6129032258063
2011,1,75723.74193548386,11770.09677419355,13163.806451612903,7806.451612903225
2011,2,49524.46428571428,20157.25,9317.92857142857,11692.392857142857
2011,3,85632.35483870968,12396.806451612903,11530.322580645161,16528.354838709678
2011,4,54629.13333333333,10887.166666666666,15223.833333333334,15977.266666666666
2011,5,33384.8064516129,5992.741935483871,5897.225806451613,11613.774193548386
2011,6,27811.633333333335,8076.866666666667,3690.2,3959.4333333333334
2011,7,24104.74193548387,22207.774193548386,3156.0,2223.451612903226
2011,8,23878.935483870966,29738.967741935485,2434.3870967741937,1388.225806451613
2011,9,16469.766666666666,24912.833333333332,2183.9666666666667,970.2666666666667
2011,10,24796.16129032258,11062.193548387097,2748.0,1440.774193548387
2011,11,26897.133333333335,6902.8,3932.4333333333334,3089.5
2011,12,43984.41935483871,3699.7419354838707,10550.161290322581,5848.258064516129
2012,1,72789.03225806452,6657.645161290323,17121.451612903227,11446.90322580645
2012,2,48933.51724137931,5405.896551724138,15268.862068965518,14172.724137931034
2012,3,36629.8064516129,3894.8387096774195,6346.774193548387,13477.290322580646
2012,4,31814.866666666665,3758.233333333333,6242.833333333333,9324.5
2012,5,29560.645161290322,5504.032258064516,3718.4193548387098,4835.1612903225805
2012,6,38037.23333333333,14119.966666666667,3598.1666666666665,2789.7
2012,7,26180.064516129034,9745.387096774193,2722.4193548387098,1720.1935483870968
2012,8,17076.25806451613,7910.451612903225,2249.6774193548385,1205.7096774193549
2012,9,14559.066666666668,4819.6,1956.2,1067.6333333333334
2012,10,14962.193548387097,7434.4838709677415,1667.1935483870968,1156.2903225806451
2012,11,22913.633333333335,4714.533333333334,4640.6,2335.6666666666665
2012,12,27462.612903225807,4613.580645161291,6602.193548387097,4873.451612903225
2013,1,49195.290322580644,8997.387096774193,5010.5161290322585,6689.0
2013,2,59842.142857142855,6987.214285714285,10506.607142857143,11885.142857142857
2013,3,51911.74193548387,12875.0,5343.612903225807,11698.548387096775
2013,4,54284.76666666667,7740.866666666667,8113.233333333334,14030.233333333334
2013,5,30809.322580645163,5023.612903225807,4437.451612903225,9473.645161290322
2013,6,40178.0,18803.4,3354.5333333333333,4023.2
2013,7,32104.16129032258,16472.967741935485,2553.0,2405.6451612903224
2013,8,20192.322580645163,18084.322580645163,2264.6129032258063,1630.967741935484
2013,9,17956.133333333335,17173.666666666668,1848.0333333333333,1318.9666666666667
2013,10,25144.322580645163,13657.806451612903,2015.516129032258,1420.4516129032259
2013,11,23994.266666666666,6687.433333333333,2618.8,2546.233333333333
2013,12,42071.54838709677,6607.548387096775,8942.967741935483,5559.903225806452
2014,1,30016.774193548386,10307.161290322581,10872.41935483871,10048.032258064517
2014,2,22933.035714285714,5003.107142857143,4116.964285714285,12976.464285714286
2014,3,34617.54838709677,11214.90322580645,3951.8064516129034,17425.83870967742
2014,4,33430.166666666664,8214.2,5151.433333333333,15364.333333333334
2014,5,22489.612903225807,11723.967741935483,3236.1612903225805,9636.354838709678
2014,6,25636.833333333332,41022.566666666666,2152.5666666666666,4209.633333333333
2014,7,17830.032258064515,16249.516129032258,2235.3225806451615,2388.2903225806454
2014,8,15011.0,6617.258064516129,2091.8064516129034,1559.0967741935483
2014,9,14425.333333333334,12734.666666666666,1939.7,1291.2
2014,10,13717.064516129032,18570.612903225807,1509.225806451613,1374.0
