iteration,bound,simulation_value,num_cuts_generated,wall_time_s,has_converged
201,1.2977731271033141e8,6.8409035361281e7,18,0.02250814437866211,false
202,1.297928595817559e8,3.499010129999995e6,1,0.0022628307342529297,false
203,1.2979627095289218e8,1.9207282954523787e7,6,0.007467985153198242,false
204,1.2981692672733478e8,8.626529003293997e7,19,0.024819135665893555,false
205,1.2982594348178442e8,7.016807473729941e7,18,0.022897005081176758,false
206,1.2984043330088446e8,1.1616410411549659e8,24,0.030364990234375,false
207,1.2984106254096103e8,2.6707422228068814e7,9,0.011044025421142578,false
208,1.2984283724246189e8,2.1563547931320205e7,5,0.007241964340209961,false
209,1.2984470631672734e8,3.1361544013412654e7,7,0.009919881820678711,false
210,1.2985470469327864e8,2.6608559583459526e7,9,0.011623144149780273,false
211,1.2986030307929371e8,3.2445541599999964e6,1,0.0020918846130371094,false
212,1.2986167709898473e8,3.191282527594924e7,9,0.012119054794311523,false
213,1.2986755567409143e8,1.1899631757881887e8,22,0.02867889404296875,false
214,1.2987423299780959e8,4.2073656400000155e6,1,0.0022051334381103516,false
215,1.2988236635518672e8,1.398068096065758e8,34,0.041162967681884766,false
216,1.299186929013151e8,9.087717545421582e7,23,0.028151988983154297,false
217,1.2994483008132084e8,1.4728326291843495e8,23,0.028696060180664062,false
218,1.2995617305861007e8,3.0557207288301587e7,10,0.012835025787353516,false
219,1.2996421998605244e8,2.6487111126297265e7,8,0.010782957077026367,false
220,1.2996421998605244e8,6.771949091794521e6,2,0.0033750534057617188,false
221,1.2997659454647961e8,1.5060828903768244e8,22,0.028155803680419922,false
222,1.2999756098705551e8,1.3519133946904361e7,4,0.005742073059082031,false
223,1.3001676675341092e8,1.7092202091664135e7,5,0.006706953048706055,false
224,1.300657110325655e8,2.5593813520138085e7,5,0.006791114807128906,false
225,1.3011567629977088e8,1.997614942084715e8,38,0.04688596725463867,false
226,1.3013104970134525e8,7.719478260276258e6,2,0.0033469200134277344,false
227,1.3014782113678509e8,3.3685830905476213e6,1,0.0019931793212890625,false
228,1.3015373724958871e8,4.9620871048334256e7,13,0.016460895538330078,false
229,1.3016481896871065e8,5.166725521909693e7,9,0.012778043746948242,false
230,1.301856163285997e8,7.844958645255536e6,2,0.003278970718383789,false
231,1.3019158050790854e8,1.3701577607797116e7,4,0.005937099456787109,false
232,1.3019167360245319e8,3.7836138900000155e6,1,0.0020439624786376953,false
233,1.3019909367286493e8,8.44508929233965e7,16,0.02044987678527832,false
234,1.3020800098449667e8,2.5300910597231284e7,8,0.010751008987426758,false
235,1.3021013182083449e8,3.3679427510323435e7,7,0.009328126907348633,false
236,1.3023249203493986e8,8.134379273401529e6,2,0.003284931182861328,false
237,1.3023334470401773e8,1.096172423541069e7,3,0.00469207763671875,false
238,1.3023819918510959e8,1.4235004822303176e7,3,0.0046880245208740234,false
239,1.302426507987138e8,2.6845439256937116e7,6,0.008891820907592773,false
240,1.3025327784273182e8,6.613975909999996e6,2,0.003381013870239258,false
241,1.3025975922281934e8,7.617941443428069e6,2,0.0031130313873291016,false
242,1.302658312858293e8,4.128874621195318e7,12,0.015240907669067383,false
243,1.3026987856923181e8,5.407302461203241e7,12,0.015503168106079102,false
244,1.3027459879879947e8,1.1784413633992392e8,23,0.028338909149169922,false
245,1.3027802276161584e8,1.854899743860972e7,4,0.006176948547363281,false
246,1.302890009409083e8,2.23306997938803e7,7,0.010046005249023438,false
247,1.3029102695084797e8,2.7166377597218767e7,9,0.011527061462402344,false
248,1.3029197658512011e8,7.152172300000012e6,2,0.003381967544555664,false
249,1.3029848350993289e8,6.758327449212462e6,2,0.0034570693969726562,false
250,1.3029977377623315e8,2.3833681944963604e7,5,0.007340908050537109,false
